,bond length,anion,icohp
1377,1.983,F,-2.8467900000000004
1378,2.05835,F,-2.33945
1379,2.05835,F,-2.35854
1380,2.04057,F,-2.4988900000000003
1381,2.05835,F,-2.35167
1382,2.05835,F,-2.34836
1383,2.04056,F,-2.49991
1384,2.01073,F,-2.67341
1385,2.01071,F,-2.69482
1386,2.05384,F,-2.3429900000000004
1387,1.97311,F,-2.80185
1388,2.01072,F,-2.6835
1389,2.01072,F,-2.68392
1390,2.05384,F,-2.34267
1391,1.97312,F,-2.7977600000000002
1392,1.79244,O,-5.87896
1393,1.92512,O,-3.98608
1394,1.75915,O,-6.61396
1395,1.84781,O,-4.92182
1396,1.83269,O,-5.29852
1397,1.8173,O,-5.63892
1398,1.84615,O,-5.0912
1399,1.92565,O,-4.10552
1400,1.93115,O,-4.11958
1401,1.88842,O,-4.42544
1402,1.84477,O,-4.95122
1403,1.7831,O,-6.10816
1404,1.873,O,-4.75338
1405,1.89253,O,-4.52238
1406,1.88545,O,-4.5649
1407,1.79819,O,-5.775
1408,1.92787,F,-3.3473
1409,1.92664,F,-3.34577
1410,2.00534,F,-2.60814
1411,1.98995,F,-2.8755100000000002
1412,1.92837,F,-3.3268
1413,1.93244,F,-3.33008
1414,1.90083,F,-3.48873
1415,1.90896,F,-3.43695
1416,2.05942,F,-2.27372
1417,1.93753,F,-3.2695
1418,1.94454,F,-3.17588
1419,1.98768,F,-2.79983
1420,2.03936,F,-2.46932
1421,2.07705,F,-2.26196
1422,1.93682,F,-3.14415
1423,1.94677,F,-3.06308
1424,2.02147,F,-2.58554
1425,1.99327,F,-2.77799
1426,1.99189,F,-2.78089
1427,2.02654,F,-2.57368
1428,1.99038,F,-2.81455
1429,2.00108,F,-2.7242
1430,1.9864,F,-2.80068
1431,2.03125,F,-2.4725
1432,1.97799,F,-2.87353
1433,1.98281,F,-2.88765
1434,1.95115,F,-3.0586
1435,1.94841,F,-3.08733
1436,2.05746,F,-2.4449
1437,2.01007,F,-2.57258
1438,1.9261,F,-3.29816
1439,1.92397,F,-3.29866
1440,1.82123,O,-5.36816
1441,1.84232,O,-5.16319
1442,1.82124,O,-5.37157
1443,1.84232,O,-5.16817
1444,1.84232,O,-5.16782
1445,1.82124,O,-5.38443
1446,1.84232,O,-5.16948
1447,1.82122,O,-5.37734
1448,1.82124,O,-5.37556
1449,1.84232,O,-5.16878
1450,1.82123,O,-5.36722
1451,1.84232,O,-5.16946
1452,1.84232,O,-5.15571
1453,1.82123,O,-5.375579999999999
1454,1.84232,O,-5.1701999999999995
1455,1.82124,O,-5.38397
1456,1.94468,F,-3.15889
1457,1.95027,F,-3.11287
1458,2.01701,F,-2.60301
1459,2.03902,F,-2.49254
1460,1.94468,F,-3.15264
1461,1.95027,F,-3.11437
1462,2.017,F,-2.59804
1463,2.03902,F,-2.4874
1464,2.03902,F,-2.4862
1465,2.017,F,-2.59169
1466,1.94468,F,-3.1515
1467,1.95027,F,-3.11376
1468,2.03902,F,-2.48447
1469,2.01701,F,-2.5937
1470,1.94468,F,-3.15258
