r	exp	calc	diff
5.25	0.910417	0.800584	0.109833
5.26	1.12682	1.06395	0.06287
5.27	1.3461	1.32784	0.01826
5.28	1.56706	1.5903	-0.02324
5.29	1.78822	1.84931	-0.06109
5.3	2.0079	2.1028	-0.0949
5.31	2.22424	2.34868	-0.12444
5.32	2.43528	2.58489	-0.14961
5.33	2.63902	2.80949	-0.17047
5.34	2.8335	3.02066	-0.18716
5.35	3.01684	3.21678	-0.19994
5.36	3.18735	3.39644	-0.20909
5.37	3.34356	3.55852	-0.21496
5.38	3.48433	3.7022	-0.21787
5.39	3.60881	3.82695	-0.21814
5.4	3.71656	3.93259	-0.21603
5.41	3.80751	4.01927	-0.21176
5.42	3.88199	4.08746	-0.20547
5.43	3.94068	4.13792	-0.19724
5.44	3.98463	4.1717	-0.18707
5.45	4.01517	4.19009	-0.17492
5.46	4.03387	4.19454	-0.16067
5.47	4.04249	4.18667	-0.14418
5.48	4.04286	4.1682	-0.12534
5.49	4.03686	4.14084	-0.10398
5.5	4.02627	4.10632	-0.08005
5.51	4.01277	4.06628	-0.05351
5.52	3.99782	4.02224	-0.02442
5.53	3.98261	3.97556	0.00705
5.54	3.96802	3.9274	0.04062
5.55	3.95459	3.87869	0.0759
5.56	3.94247	3.83012	0.11235
5.57	3.93146	3.78213	0.14933
5.58	3.92101	3.73491	0.1861
5.59	3.91022	3.68841	0.22181
5.6	3.89794	3.64237	0.25557
5.61	3.88278	3.59632	0.28646
5.62	3.86319	3.54965	0.31354
5.63	3.83753	3.50163	0.3359
5.64	3.80418	3.45142	0.35276
5.65	3.76154	3.39818	0.36336
5.66	3.7082	3.34105	0.36715
5.67	3.64292	3.27921	0.36371
5.68	3.56474	3.21193	0.35281
5.69	3.47301	3.13857	0.33444
5.7	3.3674	3.05863	0.30877
5.71	3.24797	2.97176	0.27621
5.72	3.1151	2.87775	0.23735
5.73	2.96954	2.77657	0.19297
5.74	2.81234	2.66832	0.14402
5.75	2.64483	2.55327	0.09156
5.76	2.46855	2.4318	0.03675
5.77	2.28521	2.3044	-0.01919
5.78	2.09659	2.17164	-0.07505
5.79	1.90449	2.03414	-0.12965
5.8	1.71069	1.89255	-0.18186
5.81	1.51683	1.74753	-0.2307
5.82	1.32438	1.59968	-0.2753
5.83	1.13459	1.4496	-0.31501
5.84	0.948476	1.2978	-0.349324
5.85	0.766738	1.1447	-0.377962
5.86	0.589804	0.990659	-0.400855
5.87	0.417808	0.835943	-0.418135
5.88	0.250615	0.680732	-0.430117
5.89	0.0878501	0.525132	-0.4372819
5.9	-0.071061	0.369187	-0.440248
5.91	-0.226841	0.212894	-0.439735
5.92	-0.380304	0.0562243	-0.4365283
5.93	-0.532295	-0.100861	-0.431434
5.94	-0.683631	-0.258385	-0.425246
5.95	-0.835041	-0.41634	-0.418701
5.96	-0.987113	-0.574668	-0.412445
5.97	-1.14025	-0.733244	-0.407006
5.98	-1.29463	-0.89187	-0.40276
5.99	-1.45019	-1.05026	-0.39993
6	-1.60661	-1.20805	-0.39856
6.01	-1.76331	-1.36478	-0.39853
6.02	-1.91949	-1.51994	-0.39955
6.03	-2.07411	-1.67291	-0.4012
6.04	-2.226	-1.82307	-0.40293
6.05	-2.37382	-1.96975	-0.40407
6.06	-2.51619	-2.11224	-0.40395
6.07	-2.65172	-2.24989	-0.40183
6.08	-2.77907	-2.38205	-0.39702
6.09	-2.89698	-2.50811	-0.38887
6.1	-3.0044	-2.62757	-0.37683
6.11	-3.10047	-2.73996	-0.36051
6.12	-3.18457	-2.84494	-0.33963
6.13	-3.25637	-2.94226	-0.31411
6.14	-3.31583	-3.03177	-0.28406
6.15	-3.36322	-3.11342	-0.2498
