r	calc	exp	diff
7.54	-0.80268	-0.2004	0.60229
7.55	-0.63242	-0.07025	0.56217
7.56	-0.46082	0.05642	0.51725
7.57	-0.28867	0.18009	0.46875
7.58	-0.11674	0.3012	0.41793
7.59	0.05418	0.42017	0.36599
7.6	0.22332	0.53737	0.31405
7.61	0.38992	0.65305	0.26313
7.62	0.55325	0.76737	0.21412
7.63	0.71257	0.88036	0.16779
7.64	0.86721	0.99194	0.12472
7.65	1.01649	1.10189	0.0854
7.66	1.15977	1.20988	0.05011
7.67	1.29644	1.31546	0.01902
7.68	1.42593	1.4181	-0.00783
7.69	1.54767	1.51717	-0.0305
7.7	1.66117	1.61198	-0.04919
7.71	1.76595	1.70181	-0.06414
7.72	1.86156	1.78591	-0.07565
7.73	1.94761	1.86354	-0.08407
7.74	2.02372	1.93396	-0.08976
7.75	2.08957	1.99648	-0.09309
