ppm (expt), data (expt), ppm (sim), data (sim)
-446.875,0.8843,578.144,-0.1561
-446.526,0.8961,578.09,-0.148
-446.178,0.9106,578.035,-0.1396
-445.83,0.9281,577.981,-0.1312
-445.481,0.9488,577.927,-0.1226
-445.133,0.9725,577.873,-0.1139
-444.785,0.9993,577.819,-0.1052
-444.437,1.029,577.765,-0.0963
-444.088,1.0612,577.711,-0.0874
-443.74,1.0957,577.657,-0.0785
-443.392,1.1319,577.603,-0.0696
-443.043,1.1694,577.549,-0.0607
-442.695,1.2076,577.495,-0.0518
-442.347,1.2459,577.441,-0.0429
-441.998,1.2836,577.387,-0.0341
-441.65,1.3203,577.333,-0.0254
-441.302,1.3553,577.279,-0.0167
-440.953,1.3882,577.225,-8.04E-03
-440.605,1.4186,577.171,5.08E-04
-440.257,1.446,577.117,8.97E-03
-439.909,1.4702,577.063,0.0173
-439.56,1.4911,577.009,0.0256
-439.212,1.5086,576.955,0.0338
-438.864,1.5225,576.901,0.0418
-438.515,1.533,576.847,0.0497
-438.167,1.5402,576.793,0.0576
-437.819,1.5443,576.739,0.0653
-437.47,1.5453,576.685,0.0729
-437.122,1.5435,576.631,0.0803
-436.774,1.5391,576.577,0.0877
-436.426,1.5324,576.523,0.0949
-436.077,1.5235,576.469,0.102
-435.729,1.5127,576.414,0.109
-435.381,1.5002,576.36,0.1159
-435.032,1.4862,576.306,0.1226
-434.684,1.4709,576.252,0.1292
-434.336,1.4547,576.198,0.1357
-433.987,1.4377,576.144,0.1421
-433.639,1.4202,576.09,0.1483
-433.291,1.4026,576.036,0.1544
-432.942,1.385,575.982,0.1604
-432.594,1.3679,575.928,0.1663
-432.246,1.3515,575.874,0.172
-431.898,1.3361,575.82,0.1775
-431.549,1.3219,575.766,0.1829
-431.201,1.3093,575.712,0.1882
-430.853,1.2983,575.658,0.1933
-430.504,1.289,575.604,0.1983
-430.156,1.2815,575.55,0.203
-429.808,1.2757,575.496,0.2076
-429.459,1.2715,575.442,0.2121
-429.111,1.2686,575.388,0.2163
-428.763,1.2667,575.334,0.2203
-428.415,1.2653,575.28,0.2242
-428.066,1.2642,575.226,0.2278
-427.718,1.2627,575.172,0.2312
-427.37,1.2605,575.118,0.2344
-427.021,1.257,575.064,0.2374
-426.673,1.2518,575.01,0.24
-426.325,1.2446,574.956,0.2425
-425.976,1.2349,574.902,0.2447
-425.628,1.2226,574.848,0.2466
-425.28,1.2075,574.793,0.2482
-424.931,1.1896,574.739,0.2496
-424.583,1.1689,574.685,0.2506
-424.235,1.1456,574.631,0.2514
-423.887,1.1198,574.577,0.2518
-423.538,1.092,574.523,0.252
-423.19,1.0623,574.469,0.2518
-422.842,1.0313,574.415,0.2513
-422.493,0.9992,574.361,0.2504
-422.145,0.9666,574.307,0.2493
-421.797,0.9337,574.253,0.2478
-421.448,0.901,574.199,0.246
-421.1,0.8686,574.145,0.2438
-420.752,0.8369,574.091,0.2413
-420.403,0.806,574.037,0.2385
-420.055,0.7759,573.983,0.2354
-419.707,0.7469,573.929,0.2319
-419.359,0.7188,573.875,0.2282
-419.01,0.6915,573.821,0.2241
-418.662,0.665,573.767,0.2198
-418.314,0.6392,573.713,0.2151
-417.965,0.6139,573.659,0.2102
-417.617,0.5889,573.605,0.205
-417.269,0.5642,573.551,0.1996
